Date,Now,Open,High,Low,Volueme,Rate
2015-03-17,46.250,46.100,46.450,45.850,278,0.98
2015-03-16,45.800,44.400,46.000,44.400,403,3.85
2015-03-15,44.100,44.100,44.100,44.100,100,0.00
2015-03-13,44.100,43.350,44.150,43.350,195,1.97
2015-03-12,43.250,43.400,44.100,43.250,391,-0.35
2015-03-11,43.400,43.500,44.000,43.150,449,-1.70
2015-03-10,44.150,45.200,45.500,43.100,523,-2.11
2015-03-09,45.100,45.450,45.750,44.850,303,-2.38
2015-03-08,46.200,46.200,46.200,46.200,178,0.00
2015-03-06,46.200,46.050,46.400,45.950,188,1.54
2015-03-05,45.500,45.650,46.100,45.250,220,-0.87
2015-03-04,45.900,47.300,47.300,45.700,404,-2.96
2015-03-03,47.300,47.150,47.500,46.650,207,0.96
2015-03-02,46.850,46.850,46.900,46.300,176,0.54
2015-03-01,46.600,46.600,46.600,46.600,050,0.00
2015-02-27,46.600,47.000,47.300,46.250,229,-1.06
2015-02-26,47.100,46.750,47.200,46.450,193,1.29
2015-02-25,46.500,47.200,47.400,46.400,262,-2.31
2015-02-24,47.600,47.900,47.900,47.200,184,0.85
2015-02-23,47.200,46.500,47.200,46.400,227,1.61
2015-02-17,46.450,47.350,47.450,46.300,167,-2.21
2015-02-16,47.500,47.550,47.550,47.200,153,0.96
2015-02-13,47.050,47.000,47.450,46.750,134,0.86
2015-02-12,46.650,47.450,47.500,46.600,184,-0.43
2015-02-11,46.850,45.900,47.050,45.650,322,3.77
2015-02-10,45.150,45.250,45.800,45.050,225,-0.11
2015-02-09,45.200,45.300,45.950,45.000,273,-0.66
2015-02-06,45.500,47.100,47.200,45.200,449,-3.50
2015-02-05,47.150,47.300,47.400,46.300,188,-0.32
2015-02-04,47.300,47.400,47.450,47.000,182,1.28
2015-02-03,46.700,46.450,47.450,46.450,251,0.21
2015-02-02,46.600,47.300,47.600,46.350,325,-2.20
2015-01-30,47.650,48.000,48.000,47.300,254,0.53
2015-01-29,47.400,48.500,49.200,47.300,500,-3.66
2015-01-28,49.200,49.150,49.300,48.200,223,0.10
2015-01-27,49.150,49.350,49.350,48.800,221,1.87
2015-01-26,48.250,47.250,48.300,47.000,139,1.58
2015-01-23,47.500,47.600,47.750,47.200,157,1.06
2015-01-22,47.000,48.100,48.450,47.000,289,-2.19
2015-01-21,48.050,47.500,48.200,47.400,215,2.13
2015-01-20,47.050,47.250,47.650,46.800,218,0.11
2015-01-19,47.000,47.500,47.950,46.800,313,-0.95
2015-01-16,47.450,48.450,48.900,47.250,480,-4.14
2015-01-15,49.500,48.900,49.500,48.850,147,1.23
2015-01-14,48.900,48.900,49.850,48.850,217,-0.20
2015-01-13,49.000,48.500,49.650,48.500,296,-2.58
2015-01-12,50.300,50.000,50.500,49.450,168,1.21
2015-01-09,49.700,50.700,51.400,49.700,317,-0.50
2015-01-08,49.950,48.250,50.000,47.900,484,5.38
2015-01-07,47.400,46.700,47.600,46.700,182,-0.21
2015-01-06,47.500,47.000,47.600,46.900,166,-0.31
2015-01-05,47.650,48.050,48.400,47.500,140,-0.21
2015-01-02,47.750,47.950,48.400,47.650,96633,0.00
2014-12-30,47.750,48.300,48.500,47.500,116,-0.62
2014-12-29,48.050,47.100,48.500,47.000,174,2.23
2014-12-26,47.000,47.600,47.800,47.000,144,-1.67
2014-12-24,47.800,47.100,47.850,47.100,84110,0.74
